交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(元),换手率(%),MA5,MA10,MA20,MA60,MA120,MA250,MACD_DIF,MACD_DEA,MACD柱,RSI6,RSI12,RSI24,KDJ_K,KDJ_D,KDJ_J,BOLL中轨,BOLL上轨,BOLL下轨,60日波动率
20220526,15.76225857,16.20920352,15.3947705,16.0900182,15.76225857,0.3277596299999992,2.0794,8837791,141377870.53,1.1309,16.022479852,15.788082056000002,15.123623897000002,17.632971488499997,21.30114801425,,-0.14059108059898584,-0.3948113914074113,0.5084406216168509,59.05011289039054,53.79035186729941,46.20637219737301,55.61082107868797,64.52901421113083,37.77443481380226,15.123623897000002,17.167410358582863,13.07983743541714,3.6652856808718117
20220527,16.39791361,16.40784572,15.6927338,15.7920549,16.0900182,-0.29796329999999926,-1.8519,7430403,119533211.88,0.9508,15.921172330000001,15.841715449999999,15.292966372499999,17.502695312333334,21.196860859250002,,-0.12308662442614882,-0.34046643801115883,0.43475962717002004,51.393770699144774,50.44176801003667,44.90206003507767,50.00317364762929,59.68706735663031,30.635386229627244,15.292966372499999,16.90375323964628,13.682179505353718,3.668928525272645
20220530,15.891376,16.12974664,15.54375215,16.09995031,15.7920549,0.3078954100000004,1.9497,6537032,104712619.99,0.8336,15.827810496000001,15.915213064,15.425560041,17.38135803516667,21.09555333725,,-0.0834081531291826,-0.28905478103476356,0.41129325581116194,58.1261046656018,53.6914927442018,46.52954649552715,51.61501898970526,56.996384567655284,40.85228783380521,15.425560041,16.818814278782455,14.032305803217547,3.6832949231007195
20220531,16.0900182,16.94417966,15.80198701,16.75546957,16.09995031,0.6555192599999984,4.0716,12473331,208082344.68,1.5905,16.09995031,16.029432329,15.5939093055,17.269290727333335,21.00806800166667,,0.0009216232217621467,-0.23105950018345844,0.4639622468104412,69.07084129014706,59.8121290388254,49.82229430899107,64.01785579530485,59.336874976871805,73.37981743217095,15.5939093055,16.74306457555818,14.444754035441823,3.729498140296056
20220601,16.884587,17.88773011,16.71574113,17.37126039,16.75546957,0.6157908200000008,3.6752,16192158,283750906.15,2.0647,16.421750674000002,16.203244254,15.7260063685,17.17145944383333,20.925134883166663,,0.11610437240587501,-0.16162672566559178,0.5554621961429336,76.10982904205888,64.60614984146841,52.67877777939053,69.44624729685914,62.70666575020091,82.92541039017559,15.7260063685,17.05068052821862,14.401332208781378,3.7673100934052233
20220602,17.47058149,18.13603286,17.09316131,17.84800167,17.37126039,0.4767412799999988,2.7444,11149757,197721951.24,1.4217,16.773347367999996,16.39791361,15.865552514,17.092002563833333,20.843194975666666,,0.2430547837335304,-0.08069042378576734,0.6474904150385955,80.27941308825915,67.84568220948833,54.75934958526208,76.28596417148646,67.23309855729609,94.39169539986719,15.865552514,17.455061217936116,14.276043810063886,3.7769476057075346
20220606,17.9771191,18.41413194,17.75861268,18.02677965,17.84800167,0.1787779800000031,1.0017,11995134,218489517.11,1.5295,17.220292318,16.570732324,16.0319153565,17.018670485,20.764731306666665,,0.3540089929078043,0.006249459552946993,0.6955190667097146,81.71546429236442,69.00619322068508,55.52452676111416,80.08969640782277,71.5186311741383,97.2318268751917,16.0319153565,17.794616671714483,14.269214041285519,3.7801721150884227
20220607,18.13603286,18.21548974,17.46064938,17.69902002,18.02677965,-0.32775963000000274,-1.8182,8950167,159991002.74,1.1413,17.540106259999998,16.683958378,16.174441135000002,16.947159293,20.692392438833334,,0.41075857100266333,0.08715128184289027,0.6472145783195461,70.43199255881811,64.36041177180152,53.78427016967305,79.1554863530825,74.0642495671197,89.33795992500808,16.174441135000002,17.994291058617442,14.35459121138256,3.7792412428365147
20220608,17.64935947,17.82813745,17.11302553,17.60963103,17.69902002,-0.08938898999999978,-0.5051,7792186,137124188.73,0.9936,17.710938552,16.905444431,16.293626455000002,16.902464798,20.619722500666665,,0.44340873616527077,0.15840277270736638,0.5700119269158088,67.38674376845034,63.096567484084275,53.308782606835926,77.22207862054339,75.11685925159426,81.43251735844163,16.293626455000002,18.163458361360753,14.423794548639252,3.6513341365699943
20220609,17.42092094,17.60963103,16.94417966,17.00377232,17.60963103,-0.6058587099999997,-3.4405,7287322,126174455.8,0.9292,17.637440937999997,17.029595805999996,16.375566362500003,16.8681990185,20.540596691,,0.41560564954149726,0.20984334807419255,0.4115246029346094,49.854851211157545,55.0968055653846,50.171785147238765,68.43640304747629,72.89004051688826,59.529128108652344,16.375566362500003,18.217471444060997,14.53366128093901,3.5946747672580295
20220610,16.90445122,17.75861268,16.80513012,17.65929158,17.00377232,0.6555192600000019,3.8551,7252453,127128315.57,0.9248,17.599698919999998,17.186523144,16.4873026,16.832277887333333,20.468919963833333,,0.44137849244832594,0.25615037694901927,0.37045623099861336,62.51649017626983,60.94182473223184,53.27600771527005,70.19174274590455,71.99060792656036,66.59401238459293,16.4873026,18.357217805105254,14.617387394894743,3.5926708969408785
