交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(元)
20260303,1406.8092083,1419.28400421,1389.25462079,1393.22076577,1406.81897713,-13.598211359999823,-0.9666,4589086,6565381648.19
20260304,1382.289445,1390.104509,1359.90905547,1368.78892194,1393.22076577,-24.43184383000016,-1.7536,4801443,6743267103.4
20260305,1373.497498,1380.29660368,1362.751785,1366.69839232,1368.78892194,-2.09052961999987,-0.1527,3050524,4276226062.38
20260306,1362.751785,1374.9628225,1355.913604,1369.589966,1366.69839232,2.891573679999965,0.2116,2915415,4072328833.32
20260309,1357.86737,1372.4229267,1351.2245656,1364.705551,1369.589966,-4.88441499999999,-0.3566,3744162,5220095639.08
20260310,1372.4229267,1376.90681967,1365.682434,1369.47274004,1364.705551,4.767189039999948,0.3493,2462592,3457808915.65
20260311,1370.55708017,1373.48772917,1365.70197166,1367.6362,1369.47274004,-1.8365400400000453,-0.1341,2445673,3425363891.78
20260312,1362.751785,1371.49488785,1358.85402183,1359.821136,1367.6362,-7.815063999999893,-0.5714,2758646,3850521716.68
20260313,1360.29003984,1384.84887846,1359.821136,1380.96088412,1359.821136,21.139748119999922,1.5546,3360783,4738808557.68
20260316,1387.17386,1432.110478,1387.17386,1426.42501894,1380.96088412,45.46413482000003,3.2922,6008635,8711525836.03
20260317,1434.064244,1463.43911581,1427.41167077,1450.671255,1426.42501894,24.24623606,1.6998,4945361,7347310632.23
20260318,1454.578787,1461.9054095,1429.32636145,1434.8457504,1450.671255,-15.825504599999931,-1.0909,3555100,5239992521.93
20260319,1438.90958368,1438.948659,1412.572818,1419.28400421,1434.8457504,-15.561746190000122,-1.0846,3031859,4404953480.91
20260320,1419.37192368,1428.6913875,1405.734637,1411.595935,1419.28400421,-7.688069209999867,-0.5417,2613234,3782818260.28
20260323,1400.19571039,1401.827105,1367.66550649,1375.51964581,1411.595935,-36.076289190000125,-2.5557,4725589,6669708664.51
20260324,1383.266328,1384.81957197,1367.81203894,1374.79675239,1375.51964581,-0.7228934199999912,-0.0526,2856179,4017694387.36
